;19 år;20 år;21 år;22 år;i alt
København;5806;7870;11356;13903;38935
Frederiksberg;917;1200;1510;1840;5467
Dragør;147;135;88;56;426
Tårnby;459;443;397;353;1652
Albertslund;369;411;420;377;1577
Ballerup;602;618;587;459;2266
Brøndby;384;394;366;386;1530
Gentofte;960;866;662;559;3047
Gladsaxe;820;790;785;805;3200
Glostrup;266;260;245;276;1047
Herlev;337;326;330;333;1326
Hvidovre;606;671;578;608;2463
Høje-Taastrup;605;614;543;600;2362
Ishøj;278;278;301;297;1154
Lyngby-Taarbæk;714;788;733;807;3042
Rødovre;445;409;446;432;1732
Vallensbæk;173;175;173;136;657
Allerød;357;299;196;119;971
Egedal;551;474;377;295;1697
Fredensborg;504;436;330;261;1531
Frederikssund;550;528;399;303;1780
Furesø;512;462;353;239;1566
Gribskov;425;444;320;241;1430
Halsnæs;301;343;245;231;1120
Helsingør;802;718;585;510;2615
Hillerød;713;716;599;529;2557
Hørsholm;337;266;152;129;884
Rudersdal;780;658;532;418;2388
Bornholm;376;358;305;248;1287
Christiansø;0;0;0;1;1
Greve;635;536;504;367;2042
Køge;759;787;622;531;2699
Lejre;314;302;238;210;1064
Roskilde;1152;1186;1160;1036;4534
Solrød;306;230;201;149;886
Faxe;405;385;325;314;1429
Guldborgsund;690;629;590;522;2431
Holbæk;971;869;763;635;3238
Kalundborg;628;551;422;393;1994
Lolland;356;355;347;309;1367
Næstved;1049;1029;952;873;3903
Odsherred;331;314;273;246;1164
Ringsted;404;400;369;326;1499
Slagelse;991;965;977;955;3888
Sorø;347;325;249;225;1146
Stevns;260;241;178;163;842
Vordingborg;502;461;422;404;1789
Assens;500;498;336;292;1626
Faaborg-Midtfyn;582;515;394;356;1847
Kerteminde;245;247;199;165;856
Langeland;117;101;74;69;361
Middelfart;472;437;339;245;1493
Nordfyns;315;306;248;212;1081
Nyborg;370;357;306;215;1248
Odense;2402;3162;3918;4737;14219
Svendborg;753;724;635;560;2672
Ærø;58;57;47;43;205
Billund;314;318;288;222;1142
Esbjerg;1385;1503;1403;1432;5723
Fanø;36;19;11;9;75
Fredericia;652;607;527;491;2277
Haderslev;682;625;590;523;2420
Kolding;1210;1182;1066;985;4443
Sønderborg;1018;959;771;654;3402
Tønder;479;429;337;298;1543
Varde;591;591;514;417;2113
Vejen;546;525;437;408;1916
Vejle;1554;1507;1388;1232;5681
Aabenraa;735;674;587;506;2502
Favrskov;573;542;425;295;1835
Hedensted;575;520;412;330;1837
Horsens;1147;1224;1268;1177;4816
Norddjurs;486;438;350;351;1625
Odder;291;250;220;160;921
Randers;1202;1221;1181;1075;4679
Samsø;17;23;26;16;82
Silkeborg;1204;1183;1029;782;4198
Skanderborg;811;704;550;358;2423
Syddjurs;465;439;319;277;1500
Aarhus;3906;5468;7784;10003;27161
Herning;1201;1293;1113;1054;4661
Holstebro;780;779;727;667;2953
Ikast-Brande;548;493;382;361;1784
Lemvig;267;270;212;175;924
Ringkøbing-Skjern;798;713;601;475;2587
Skive;571;523;492;397;1983
Struer;261;243;216;180;900
Viborg;1248;1199;1022;861;4330
Brønderslev;421;369;309;265;1364
Frederikshavn;621;628;474;416;2139
Hjørring;733;704;623;610;2670
Jammerbugt;467;369;305;262;1403
Læsø;5;14;9;7;35
Mariagerfjord;496;460;366;337;1659
Morsø;250;247;211;162;870
Rebild;358;292;219;158;1027
Thisted;544;494;404;399;1841
Vesthimmerlands;420;419;312;294;1445
Aalborg;2568;3345;4295;5186;15394
